porphyritic texture,pegmatitic structure,conchoidal fracture,Image
7.05,2.55,2.07,I_Andesite_01.jpg
7.05,3.1,2.27,I_Andesite_02.jpg
7.0,2.0,2.33,I_Andesite_03.jpg
8.14,2.3,1.27,I_Andesite_04.jpg
8.1,2.85,1.33,I_Andesite_05.jpg
7.33,3.05,2.07,I_Andesite_06.jpg
8.52,3.2,1.07,I_Andesite_07.jpg
3.81,1.55,2.2,I_Andesite_08.jpg
6.95,2.3,2.13,I_Andesite_09.jpg
6.67,2.5,1.53,I_Andesite_10.jpg
7.33,2.65,1.8,I_Andesite_11.jpg
6.95,3.0,1.47,I_Andesite_12.jpg
2.1,1.05,4.73,I_Basalt_01.jpg
3.05,1.35,3.73,I_Basalt_02.jpg
6.05,2.45,2.33,I_Basalt_03.jpg
2.0,1.25,4.07,I_Basalt_04.jpg
1.33,1.15,3.2,I_Basalt_05.jpg
1.48,1.55,3.07,I_Basalt_06.jpg
2.52,2.1,1.27,I_Basalt_07.jpg
1.67,1.25,3.2,I_Basalt_08.jpg
1.86,1.2,2.13,I_Basalt_09.jpg
1.62,1.8,4.4,I_Basalt_10.jpg
2.48,1.7,1.6,I_Basalt_11.jpg
3.57,2.15,2.0,I_Basalt_12.jpg
5.1,2.55,1.53,I_Diorite_01.jpg
5.76,4.65,2.07,I_Diorite_02.jpg
5.24,3.1,1.6,I_Diorite_03.jpg
5.76,3.05,2.67,I_Diorite_04.jpg
5.14,2.9,1.93,I_Diorite_05.jpg
5.48,3.9,1.6,I_Diorite_06.jpg
6.67,4.1,1.73,I_Diorite_07.jpg
6.38,5.1,1.87,I_Diorite_08.jpg
6.57,3.3,1.73,I_Diorite_09.jpg
5.52,2.85,1.47,I_Diorite_10.jpg
5.52,3.1,1.2,I_Diorite_11.jpg
5.48,3.05,1.47,I_Diorite_12.jpg
4.62,3.15,1.53,I_Gabbro_01.jpg
2.14,2.05,2.93,I_Gabbro_02.jpg
5.43,3.2,1.4,I_Gabbro_03.jpg
5.19,4.5,1.87,I_Gabbro_04.jpg
4.95,3.15,1.4,I_Gabbro_05.jpg
4.05,3.1,2.4,I_Gabbro_06.jpg
7.9,3.65,1.47,I_Gabbro_07.jpg
3.48,2.7,1.87,I_Gabbro_08.jpg
3.14,3.4,2.53,I_Gabbro_09.jpg
3.62,2.3,2.27,I_Gabbro_10.jpg
3.57,1.55,1.93,I_Gabbro_11.jpg
4.43,2.4,2.0,I_Gabbro_12.jpg
6.9,5.3,1.4,I_Granite_01.jpg
5.67,3.3,1.6,I_Granite_02.jpg
5.9,3.75,2.27,I_Granite_03.jpg
5.95,3.5,1.87,I_Granite_04.jpg
5.81,3.3,1.67,I_Granite_05.jpg
5.52,3.7,1.73,I_Granite_06.jpg
5.9,3.9,1.73,I_Granite_07.jpg
5.9,3.9,1.67,I_Granite_08.jpg
6.52,5.3,2.33,I_Granite_09.jpg
5.81,4.4,1.73,I_Granite_10.jpg
6.24,4.15,1.73,I_Granite_11.jpg
6.14,3.65,2.27,I_Granite_12.jpg
1.9,3.05,7.6,I_Obsidian_01.jpg
1.24,3.95,8.33,I_Obsidian_02.jpg
1.43,3.5,7.2,I_Obsidian_03.jpg
1.05,4.15,8.33,I_Obsidian_04.jpg
5.71,5.4,8.2,I_Obsidian_05.jpg
2.24,5.1,8.73,I_Obsidian_06.jpg
2.38,4.85,7.47,I_Obsidian_07.jpg
1.38,4.8,9.0,I_Obsidian_08.jpg
1.0,3.85,8.87,I_Obsidian_09.jpg
1.24,3.9,8.2,I_Obsidian_10.jpg
1.05,3.05,8.27,I_Obsidian_11.jpg
1.05,3.9,8.87,I_Obsidian_12.jpg
5.62,5.25,1.73,I_Pegmatite_01.jpg
5.19,5.6,2.53,I_Pegmatite_02.jpg
6.57,5.75,2.67,I_Pegmatite_03.jpg
5.62,5.85,2.67,I_Pegmatite_04.jpg
5.86,5.55,2.67,I_Pegmatite_05.jpg
4.33,4.45,2.6,I_Pegmatite_06.jpg
6.1,8.2,1.8,I_Pegmatite_07.jpg
4.62,8.25,4.4,I_Pegmatite_08.jpg
5.0,6.4,3.87,I_Pegmatite_09.jpg
3.9,6.0,3.33,I_Pegmatite_10.jpg
5.1,8.75,3.33,I_Pegmatite_11.jpg
6.1,5.4,3.27,I_Pegmatite_12.jpg
3.57,2.1,2.0,I_Peridotite_01.jpg
5.43,3.9,1.87,I_Peridotite_02.jpg
7.67,4.75,1.93,I_Peridotite_03.jpg
7.14,4.35,2.2,I_Peridotite_04.jpg
3.76,3.75,2.4,I_Peridotite_05.jpg
5.71,5.95,2.93,I_Peridotite_06.jpg
5.67,3.05,1.73,I_Peridotite_07.jpg
5.95,3.55,1.67,I_Peridotite_08.jpg
6.48,3.55,1.6,I_Peridotite_09.jpg
5.71,4.5,1.87,I_Peridotite_10.jpg
6.19,2.4,1.33,I_Peridotite_11.jpg
6.95,4.35,1.47,I_Peridotite_12.jpg
2.95,1.35,1.47,I_Pumice_01.jpg
2.81,1.8,1.2,I_Pumice_02.jpg
2.57,1.3,1.6,I_Pumice_03.jpg
2.76,1.2,1.33,I_Pumice_04.jpg
2.33,1.2,1.4,I_Pumice_05.jpg
2.67,1.45,1.6,I_Pumice_06.jpg
3.48,1.7,1.6,I_Pumice_07.jpg
2.71,1.2,1.4,I_Pumice_08.jpg
2.33,1.2,1.6,I_Pumice_09.jpg
4.1,1.85,1.47,I_Pumice_10.jpg
3.24,1.2,2.0,I_Pumice_11.jpg
3.95,1.4,1.8,I_Pumice_12.jpg
7.05,2.9,1.4,I_Rhyolite_01.jpg
7.71,2.95,1.4,I_Rhyolite_02.jpg
4.62,3.35,3.13,I_Rhyolite_03.jpg
3.62,1.7,4.47,I_Rhyolite_04.jpg
3.57,1.7,2.93,I_Rhyolite_05.jpg
6.1,2.95,3.8,I_Rhyolite_06.jpg
2.05,1.7,3.73,I_Rhyolite_07.jpg
2.14,1.1,2.8,I_Rhyolite_08.jpg
7.57,2.65,1.93,I_Rhyolite_09.jpg
7.14,2.7,2.07,I_Rhyolite_10.jpg
1.57,1.05,2.8,I_Rhyolite_11.jpg
7.9,2.8,1.47,I_Rhyolite_12.jpg
5.86,4.9,2.67,M_Amphibolite_01.jpg
2.33,1.85,2.53,M_Amphibolite_02.jpg
4.24,4.45,5.2,M_Amphibolite_03.jpg
3.57,2.8,2.4,M_Amphibolite_04.jpg
5.48,3.0,1.33,M_Amphibolite_05.jpg
4.05,2.35,2.2,M_Amphibolite_06.jpg
5.24,3.9,2.33,M_Amphibolite_07.jpg
3.95,4.55,4.0,M_Amphibolite_08.jpg
5.19,3.65,2.6,M_Amphibolite_09.jpg
4.9,3.3,2.87,M_Amphibolite_10.jpg
7.14,4.25,1.6,M_Amphibolite_11.jpg
6.14,5.55,2.27,M_Amphibolite_12.jpg
1.19,3.1,6.07,M_Anthracite_01.jpg
1.38,3.75,5.6,M_Anthracite_02.jpg
2.24,5.0,3.87,M_Anthracite_03.jpg
1.95,4.95,7.13,M_Anthracite_04.jpg
1.14,3.4,5.67,M_Anthracite_05.jpg
2.1,2.7,3.67,M_Anthracite_06.jpg
1.38,3.8,6.27,M_Anthracite_07.jpg
1.05,3.85,5.87,M_Anthracite_08.jpg
1.33,3.25,7.47,M_Anthracite_09.jpg
2.57,3.85,4.27,M_Anthracite_10.jpg
1.76,3.75,4.47,M_Anthracite_11.jpg
2.14,4.85,6.33,M_Anthracite_12.jpg
4.1,2.1,3.2,M_Gneiss_01.jpg
4.33,3.35,2.73,M_Gneiss_02.jpg
3.86,2.4,2.47,M_Gneiss_03.jpg
3.71,3.1,2.47,M_Gneiss_04.jpg
4.95,2.45,2.33,M_Gneiss_05.jpg
3.1,1.75,2.47,M_Gneiss_06.jpg
3.0,2.6,2.8,M_Gneiss_07.jpg
3.43,3.7,2.6,M_Gneiss_08.jpg
3.81,2.4,2.67,M_Gneiss_09.jpg
4.52,2.85,1.87,M_Gneiss_10.jpg
3.19,2.25,1.93,M_Gneiss_11.jpg
4.0,3.0,3.27,M_Gneiss_12.jpg
1.67,2.15,4.4,M_Hornfels_01.jpg
2.33,1.25,2.33,M_Hornfels_02.jpg
1.05,1.9,3.53,M_Hornfels_03.jpg
2.52,1.35,2.73,M_Hornfels_04.jpg
1.33,1.9,4.2,M_Hornfels_05.jpg
2.48,1.7,4.4,M_Hornfels_06.jpg
2.29,2.15,4.0,M_Hornfels_07.jpg
3.62,1.85,3.0,M_Hornfels_08.jpg
2.95,1.75,2.33,M_Hornfels_09.jpg
2.38,1.15,2.53,M_Hornfels_10.jpg
4.62,2.0,2.07,M_Hornfels_11.jpg
1.71,2.0,4.2,M_Hornfels_12.jpg
3.86,3.7,2.07,M_Marble_01.jpg
1.29,2.35,3.47,M_Marble_02.jpg
1.57,1.1,2.07,M_Marble_03.jpg
3.29,2.8,2.6,M_Marble_04.jpg
2.38,3.45,2.4,M_Marble_05.jpg
2.57,2.8,3.13,M_Marble_06.jpg
5.05,2.3,2.4,M_Marble_07.jpg
2.86,3.35,2.33,M_Marble_08.jpg
3.14,3.6,2.6,M_Marble_09.jpg
3.33,3.7,2.53,M_Marble_10.jpg
4.81,3.75,2.87,M_Marble_11.jpg
3.29,4.35,2.8,M_Marble_12.jpg
3.24,2.2,3.27,M_Migmatite_01.jpg
3.71,1.75,1.73,M_Migmatite_02.jpg
2.81,1.75,3.6,M_Migmatite_03.jpg
2.71,2.35,3.0,M_Migmatite_04.jpg
2.86,2.0,3.27,M_Migmatite_05.jpg
3.48,3.4,3.07,M_Migmatite_06.jpg
3.95,3.5,3.93,M_Migmatite_07.jpg
4.19,2.6,2.53,M_Migmatite_08.jpg
5.33,3.35,2.27,M_Migmatite_09.jpg
4.62,2.15,1.93,M_Migmatite_10.jpg
3.05,2.9,2.6,M_Migmatite_11.jpg
2.67,1.7,3.6,M_Migmatite_12.jpg
6.86,4.35,3.13,M_Phyllite_01.jpg
2.38,1.75,3.47,M_Phyllite_02.jpg
2.24,2.05,4.07,M_Phyllite_03.jpg
4.43,2.5,3.4,M_Phyllite_04.jpg
1.57,1.25,3.07,M_Phyllite_05.jpg
1.48,1.8,4.6,M_Phyllite_06.jpg
2.71,1.65,2.6,M_Phyllite_07.jpg
2.14,2.75,4.87,M_Phyllite_08.jpg
2.24,2.1,4.4,M_Phyllite_09.jpg
2.71,1.45,3.53,M_Phyllite_10.jpg
3.86,2.8,2.4,M_Phyllite_11.jpg
2.1,2.6,3.47,M_Phyllite_12.jpg
4.05,2.1,2.47,M_Quartzite_01.jpg
1.9,1.65,3.2,M_Quartzite_02.jpg
5.29,2.55,1.6,M_Quartzite_03.jpg
3.95,2.55,2.13,M_Quartzite_04.jpg
2.62,2.0,2.4,M_Quartzite_05.jpg
3.43,2.65,3.0,M_Quartzite_06.jpg
1.52,1.55,3.6,M_Quartzite_07.jpg
2.76,1.85,2.13,M_Quartzite_08.jpg
4.76,2.35,2.4,M_Quartzite_09.jpg
3.62,3.0,2.53,M_Quartzite_10.jpg
3.86,1.5,2.6,M_Quartzite_11.jpg
2.29,1.3,1.93,M_Quartzite_12.jpg
2.57,1.7,2.33,M_Schist_01.jpg
3.95,3.2,2.33,M_Schist_02.jpg
4.76,4.1,2.13,M_Schist_03.jpg
4.71,3.45,2.6,M_Schist_04.jpg
2.33,3.05,4.0,M_Schist_05.jpg
5.95,3.95,2.93,M_Schist_06.jpg
4.24,3.4,2.53,M_Schist_07.jpg
5.9,5.3,2.53,M_Schist_08.jpg
5.52,3.4,2.4,M_Schist_09.jpg
4.19,3.2,1.93,M_Schist_10.jpg
6.86,5.15,1.93,M_Schist_11.jpg
5.9,4.3,1.87,M_Schist_12.jpg
2.29,1.65,3.13,M_Slate_01.jpg
1.43,1.8,4.73,M_Slate_02.jpg
1.62,1.05,3.4,M_Slate_03.jpg
1.43,1.05,3.13,M_Slate_04.jpg
1.67,1.2,3.2,M_Slate_05.jpg
1.62,1.4,3.53,M_Slate_06.jpg
1.43,1.15,2.93,M_Slate_07.jpg
1.48,1.1,4.2,M_Slate_08.jpg
1.9,2.35,3.4,M_Slate_09.jpg
1.62,1.35,3.67,M_Slate_10.jpg
1.62,1.25,5.73,M_Slate_11.jpg
1.38,1.35,3.33,M_Slate_12.jpg
2.57,2.7,4.07,S_Bituminous Coal_01.jpg
1.71,4.05,6.87,S_Bituminous Coal_02.jpg
1.9,2.6,3.73,S_Bituminous Coal_03.jpg
2.52,3.3,4.47,S_Bituminous Coal_04.jpg
2.48,2.35,3.4,S_Bituminous Coal_05.jpg
1.9,2.0,3.67,S_Bituminous Coal_06.jpg
1.9,2.05,4.13,S_Bituminous Coal_07.jpg
1.71,2.75,4.6,S_Bituminous Coal_08.jpg
1.0,2.8,8.33,S_Bituminous Coal_09.jpg
1.52,2.9,4.47,S_Bituminous Coal_10.jpg
1.05,2.95,5.27,S_Bituminous Coal_11.jpg
2.86,2.4,3.47,S_Bituminous Coal_12.jpg
5.9,4.7,3.13,S_Breccia_01.jpg
7.81,5.4,2.07,S_Breccia_02.jpg
7.33,3.75,2.4,S_Breccia_03.jpg
6.19,3.15,2.73,S_Breccia_04.jpg
7.14,6.6,1.93,S_Breccia_05.jpg
6.19,4.55,2.0,S_Breccia_06.jpg
8.33,5.0,1.27,S_Breccia_07.jpg
7.81,6.55,2.53,S_Breccia_08.jpg
4.67,4.95,4.2,S_Breccia_09.jpg
7.95,4.4,1.6,S_Breccia_10.jpg
8.24,5.45,1.8,S_Breccia_11.jpg
7.9,4.6,1.4,S_Breccia_12.jpg
2.62,3.5,6.07,S_Chert_01.jpg
1.48,1.7,4.47,S_Chert_02.jpg
1.95,2.65,6.4,S_Chert_03.jpg
1.81,1.4,3.73,S_Chert_04.jpg
2.05,1.5,5.6,S_Chert_05.jpg
2.43,1.9,5.27,S_Chert_06.jpg
1.71,1.35,3.4,S_Chert_07.jpg
2.14,4.0,7.67,S_Chert_08.jpg
2.0,3.45,6.07,S_Chert_09.jpg
2.33,2.75,8.13,S_Chert_10.jpg
3.33,5.85,7.73,S_Chert_11.jpg
2.05,1.85,5.53,S_Chert_12.jpg
6.62,4.2,1.6,S_Conglomerate_01.jpg
8.29,4.55,1.87,S_Conglomerate_02.jpg
8.0,4.0,1.93,S_Conglomerate_03.jpg
7.48,6.05,1.33,S_Conglomerate_04.jpg
8.0,6.7,1.93,S_Conglomerate_05.jpg
5.81,2.7,1.93,S_Conglomerate_06.jpg
7.43,2.6,1.2,S_Conglomerate_07.jpg
7.67,3.95,1.6,S_Conglomerate_08.jpg
7.86,3.35,1.8,S_Conglomerate_09.jpg
7.76,3.2,2.53,S_Conglomerate_10.jpg
8.33,4.1,1.8,S_Conglomerate_11.jpg
2.43,1.95,2.6,S_Conglomerate_12.jpg
2.1,1.1,2.53,S_Dolomite_01.jpg
3.71,3.35,2.87,S_Dolomite_02.jpg
3.1,2.35,4.33,S_Dolomite_03.jpg
2.52,1.35,2.67,S_Dolomite_04.jpg
2.19,1.55,4.73,S_Dolomite_05.jpg
1.62,2.65,3.27,S_Dolomite_06.jpg
1.57,1.15,2.93,S_Dolomite_07.jpg
2.33,1.25,2.0,S_Dolomite_08.jpg
3.29,1.6,2.47,S_Dolomite_09.jpg
2.38,1.4,2.67,S_Dolomite_10.jpg
4.71,2.35,1.67,S_Dolomite_11.jpg
1.33,1.25,2.4,S_Dolomite_12.jpg
2.57,1.95,2.67,S_Micrite_01.jpg
1.81,1.3,2.0,S_Micrite_02.jpg
2.19,1.8,3.13,S_Micrite_03.jpg
1.48,2.0,5.93,S_Micrite_04.jpg
2.48,2.15,5.13,S_Micrite_05.jpg
3.29,1.35,2.67,S_Micrite_06.jpg
4.38,1.35,1.6,S_Micrite_07.jpg
2.0,2.15,4.33,S_Micrite_08.jpg
2.24,1.75,4.33,S_Micrite_09.jpg
1.19,1.0,3.0,S_Micrite_10.jpg
2.52,1.3,2.4,S_Micrite_11.jpg
2.81,2.1,3.07,S_Micrite_12.jpg
2.57,2.9,3.07,S_Rock Gypsum_01.jpg
2.86,3.1,4.47,S_Rock Gypsum_02.jpg
2.19,2.95,2.73,S_Rock Gypsum_03.jpg
3.14,4.25,3.33,S_Rock Gypsum_04.jpg
2.24,3.5,2.27,S_Rock Gypsum_05.jpg
2.0,2.05,4.07,S_Rock Gypsum_06.jpg
2.19,2.2,3.07,S_Rock Gypsum_07.jpg
1.95,4.0,5.87,S_Rock Gypsum_08.jpg
1.81,5.0,5.0,S_Rock Gypsum_09.jpg
2.14,3.25,3.67,S_Rock Gypsum_10.jpg
1.86,3.2,4.13,S_Rock Gypsum_11.jpg
2.62,4.2,4.4,S_Rock Gypsum_12.jpg
2.1,4.8,4.27,S_Rock Salt_01.jpg
4.24,5.3,2.67,S_Rock Salt_02.jpg
4.48,5.0,2.07,S_Rock Salt_03.jpg
3.81,7.4,3.47,S_Rock Salt_04.jpg
2.57,3.55,2.87,S_Rock Salt_05.jpg
3.43,5.75,3.13,S_Rock Salt_06.jpg
2.95,4.95,2.2,S_Rock Salt_07.jpg
1.76,5.05,3.67,S_Rock Salt_08.jpg
2.19,6.4,3.6,S_Rock Salt_09.jpg
3.1,3.5,3.07,S_Rock Salt_10.jpg
2.86,3.15,3.6,S_Rock Salt_11.jpg
2.1,5.05,3.6,S_Rock Salt_12.jpg
3.05,1.95,2.8,S_Sandstone_01.jpg
1.9,1.25,2.8,S_Sandstone_02.jpg
1.71,1.1,2.47,S_Sandstone_03.jpg
1.57,1.0,2.27,S_Sandstone_04.jpg
1.57,1.5,3.2,S_Sandstone_05.jpg
2.48,2.2,3.13,S_Sandstone_06.jpg
2.57,1.55,2.33,S_Sandstone_07.jpg
1.62,1.15,2.53,S_Sandstone_08.jpg
2.1,1.75,2.8,S_Sandstone_09.jpg
3.29,1.55,1.93,S_Sandstone_10.jpg
1.81,1.45,2.27,S_Sandstone_11.jpg
1.43,1.65,2.27,S_Sandstone_12.jpg
1.67,1.25,5.07,S_Shale_01.jpg
2.14,1.9,3.6,S_Shale_02.jpg
1.71,1.15,2.13,S_Shale_03.jpg
1.33,1.1,4.6,S_Shale_04.jpg
1.71,1.45,5.2,S_Shale_05.jpg
3.24,2.55,3.53,S_Shale_06.jpg
1.67,1.8,3.93,S_Shale_07.jpg
1.43,1.25,4.4,S_Shale_08.jpg
3.05,2.35,3.4,S_Shale_09.jpg
1.62,1.45,3.2,S_Shale_10.jpg
2.29,1.9,3.87,S_Shale_11.jpg
2.14,1.2,3.6,S_Shale_12.jpg
